location,region,location_uk,location_ru,eng_oblast,eng_region,location_en,location_en_ru,russian_new
Розкішна,Київська область,Розкішна,Роскошная,Kyiv Oblast,Kyiv Region,Rozkishna,Roskoshnaya,Роскошная
Розумниця,Київська область,Розумниця,Умница,Kyiv Oblast,Kyiv Region,Rozumnytsia,Umnitsa,Умница
Сніжки,Київська область,Сніжки,Снежки,Kyiv Oblast,Kyiv Region,Snizhky,Snezhki,Снежки
Станіславчик,Київська область,Станіславчик,Станиславчик,Kyiv Oblast,Kyiv Region,Stanislavchyk,Stanislavchik,Станиславчик
Ставище,Київська область,Ставище,Ставище,Kyiv Oblast,Kyiv Region,Stavyshche,Stavishche,Ставище
Стрижавка,Київська область,Стрижавка,Стрижавка,Kyiv Oblast,Kyiv Region,Stryzhavka,Strizhavka,Стрижавка
Сухий Яр,Київська область,Сухий Яр,Сухой Яр,Kyiv Oblast,Kyiv Region,Sukhyi Iar,Sukhoy Yar,Сухой Яр
Торчицький Степок,Київська область,Торчицький Степок,Торчицкий Степок,Kyiv Oblast,Kyiv Region,Torchytskyi Stepok,Torchitskiy Stepok,Торчицкий Степок
Торчиця,Київська область,Торчиця,Торчиця,Kyiv Oblast,Kyiv Region,Torchytsia,Torchitsya,Торчиця
Василиха,Київська область,Василиха,Василиха,Kyiv Oblast,Kyiv Region,Vasylykha,Vasilikha,Василиха
Винарівка,Київська область,Винарівка,Винаровка,Kyiv Oblast,Kyiv Region,Vynarivka,Vinarovka,Винаровка
Вишківське,Київська область,Вишківське,Вышковское,Kyiv Oblast,Kyiv Region,Vyshkivske,Vyshkovskoe,Вышковское
Ясенівка,Київська область,Ясенівка,Ясеневка,Kyiv Oblast,Kyiv Region,Yasenivka,Yasenevka,Ясеневка
Юрківка,Київська область,Юрківка,Юрковка,Kyiv Oblast,Kyiv Region,Yurkivka,Yurkovka,Юрковка
Журавлиха,Київська область,Журавлиха,Журавлиха,Kyiv Oblast,Kyiv Region,Zhuravlykha,Zhuravlikha,Журавлиха
Бовкун,Київська область,Бовкун,Бовкун,Kyiv Oblast,Kyiv Region,Bovkun,Bovkun,Бовкун
Чапаевка,Київська область,Чапаєвка,Чапаевка,Kyiv Oblast,Kyiv Region,Chapaevka,Chapaevka,Чапаевка
Чернин,Київська область,Чернін,Чернин,Kyiv Oblast,Kyiv Region,Chernyn,Chernin,Чернин
Червоні Яри,Київська область,Червоні Яри,Красные Овраги,Kyiv Oblast,Kyiv Region,Chervoni Iary,Krasnye Ovragi,Красные Яры
Дубівка,Київська область,Дубівка,Дубовка,Kyiv Oblast,Kyiv Region,Dubivka,Dubovka,Дубовка
Ківшовата,Київська область,Ківшовата,Ківшовата,Kyiv Oblast,Kyiv Region,Kivshovata,Kіvshovata,Кившовата
Косяківка,Київська область,Косяківка,Косяківка,Kyiv Oblast,Kyiv Region,Kosiakivka,Kosyakіvka,Косяковка
Красюки,Київська область,Красюки,Красюки,Kyiv Oblast,Kyiv Region,Krasiuky,Krasyuki,Красюки
Круті Горби,Київська область,Круті Горби,Крутые Бугры,Kyiv Oblast,Kyiv Region,Kruti Horby,Krutye Bugry,Крутые Горбы
Крива,Київська область,Кривий,Кривой,Kyiv Oblast,Kyiv Region,Kryva,Krivoy,Кривой
Кирдани,Київська область,Кирданах,Кирданах,Kyiv Oblast,Kyiv Region,Kyrdany,Kirdanakh,Кирданах
Кислівка,Київська область,Кислівка,Кисловка,Kyiv Oblast,Kyiv Region,Kyslivka,Kislovka,Кисловка
Лісовичі,Київська область,Лісовичі,Лісовичі,Kyiv Oblast,Kyiv Region,Lisovychi,Lіsovichі,Лесовичи
Маковецьке,Київська область,Маковецьке,Маковецкое,Kyiv Oblast,Kyiv Region,Makovetske,Makovetskoe,Маковецкое
Мала Березянка,Київська область,Мала Березянка,Мала Березянка,Kyiv Oblast,Kyiv Region,Mala Berezianka,Mala Berezyanka,Мала Березянка
Мала Вовнянка,Київська область,Мала Вовнянка,Малая Вовнянка,Kyiv Oblast,Kyiv Region,Mala Vovnianka,Malaya Vovnyanka,Малая Вовнянка
Малоберезанське,Київська область,Малоберезанське,Малоберезанское,Kyiv Oblast,Kyiv Region,Maloberezanske,Maloberezanskoe,Малоберезанское
Ріжки,Київська область,Ріжки,Рожки,Kyiv Oblast,Kyiv Region,Rizhky,Rozhki,Рожки
Салиха,Київська область,Саліха,Салиха,Kyiv Oblast,Kyiv Region,Salykha,Salikha,Салиха
Тараща,Київська область,Вирячувати,Таращить,Kyiv Oblast,Kyiv Region,Tarashcha,Tarashchit,Вырячивать
Улашівка,Київська область,Улашівка,Улашовка,Kyiv Oblast,Kyiv Region,Ulashivka,Ulashovka,Улашовка
Велика Березянка,Київська область,Велика Березянка,Велика Березянка,Kyiv Oblast,Kyiv Region,Velyka Berezianka,Velika Berezyanka,Велика Березянка
Велика Вовнянка,Київська область,Велика Вовнянка,Велика Вовнянка,Kyiv Oblast,Kyiv Region,Velyka Vovnianka,Velika Vovnyanka,Велика Вовнянка
Веселый Кут,Київська область,Веселий Кут,Веселый Кут,Kyiv Oblast,Kyiv Region,Veselyi Kut,Veselyy Kut,Веселый Кут
Бурківці,Київська область,Бурківці,Бурківці,Kyiv Oblast,Kyiv Region,Burkivtsi,Burkіvtsі,Бурковцы
Черепин,Київська область,Черепін,Черепин,Kyiv Oblast,Kyiv Region,Cherepyn,Cherepin,Черепин
Черепинка,Київська область,Черепинка,Черепинка,Kyiv Oblast,Kyiv Region,Cherepynka,Cherepinka,Черепинка
Денихівка,Київська область,Денихівка,Дениховка,Kyiv Oblast,Kyiv Region,Denykhivka,Denikhovka,Дениховка
Дубина,Київська область,Дубина,Дубина,Kyiv Oblast,Kyiv Region,Dubyna,Dubina,Дубина
Дзвеняче,Київська область,Дзвеняче,Дзвеняче,Kyiv Oblast,Kyiv Region,Dzveniache,Dzvenyache,Дзвеняче
Галайки,Київська область,Галайки,Галайки,Kyiv Oblast,Kyiv Region,Halaiky,Galayki,Галайки
Голодьки,Київська область,Голодьки,Голодьки,Kyiv Oblast,Kyiv Region,Holodky,Golodki,Голодьки
Горошків,Київська область,Горошків,Горошков,Kyiv Oblast,Kyiv Region,Horoshkiv,Goroshkov,Горошков
Хмелівка,Київська область,Хмелівка,Хмелевка,Kyiv Oblast,Kyiv Region,Khmelivka,Khmelevka,Хмелевка
Кашперівка,Київська область,Кашперівка,Кашперівка,Kyiv Oblast,Kyiv Region,Kashperivka,Kashperіvka,Кашперовка
Клюки,Київська область,Клюка,Клюка,Kyiv Oblast,Kyiv Region,Kliuky,Klyuka,Клюка
Кошів,Київська область,Кошів,Кошей,Kyiv Oblast,Kyiv Region,Koshiv,Koshey,Кошев
Молочне,Київська область,Молочне,Молочное,Kyiv Oblast,Kyiv Region,Molochne,Molochnoe,Молочное
Ненадиха,Київська область,Ненадиха,Ненадиха,Kyiv Oblast,Kyiv Region,Nenadykha,Nenadikha,Ненадиха
Одайпіль,Київська область,Одайпіль,Одайпіль,Kyiv Oblast,Kyiv Region,Odaipil,Odaypіl,Одайполь
П'ятигори,Київська область,П'єр ятигори,П'ятигори,Kyiv Oblast,Kyiv Region,Piatyhory,P'yatigori,П'ятигори
Ріденьке,Київська область,Ріденьке,Жиденькое,Kyiv Oblast,Kyiv Region,Ridenke,Zhidenkoe,Реденькое
Росішки,Київська область,Росішки,Росишки,Kyiv Oblast,Kyiv Region,Rosishky,Rosishki,Росишки
Скибинці,Київська область,Скибинці,Ломтики,Kyiv Oblast,Kyiv Region,Skybyntsi,Lomtiki,Скибинцы
Софіпіль,Київська область,Софіпіль,Софіпіль,Kyiv Oblast,Kyiv Region,Sofipil,Sofіpіl,Софиполь
Стадниця,Київська область,Стадниця,Стадница,Kyiv Oblast,Kyiv Region,Stadnytsia,Stadnitsa,Стадница
Тайниця,Київська область,Тайниця,Тайница,Kyiv Oblast,Kyiv Region,Tainytsia,Taynitsa,Тайница
Теліжинці,Київська область,Теліжинці,Телижинцы,Kyiv Oblast,Kyiv Region,Telizhyntsi,Telizhintsy,Телижинцы
Тетіїв,Київська область,Тетіїв,Тетиев,Kyiv Oblast,Kyiv Region,Tetiiv,Tetiev,Тетиев
Високе,Київська область,Віскі,Виски,Kyiv Oblast,Kyiv Region,Vysoke,Viski,Виски
Багрин,Київська область,Багрин,Багрин,Kyiv Oblast,Kyiv Region,Bahryn,Bagrin,Багрин
Барахти,Київська область,Барахти,Барахти,Kyiv Oblast,Kyiv Region,Barakhty,Barakhti,Барахти
Березенщина,Київська область,Березенщина,Березенщина,Kyiv Oblast,Kyiv Region,Berezenshchyna,Berezenshchina,Березенщина
Безп'ятне,Київська область,Безп'ятне,Беспятное,Kyiv Oblast,Kyiv Region,Bezpiatne,Bespyatnoe,Беспятное
Борисів,Київська область,Борисів,Борисов,Kyiv Oblast,Kyiv Region,Borysiv,Borisov,Борисов
Червоне Поле,Київська область,Червоне Поле,Красное Поле,Kyiv Oblast,Kyiv Region,Chervone Pole,Krasnoe Pole,Червоное Поле
Данилівка,Київська область,Данилівка,Даниловка,Kyiv Oblast,Kyiv Region,Danylivka,Danilovka,Даниловка
Дерев'янки,Київська область,Дерев'янки,Деревянки,Kyiv Oblast,Kyiv Region,Derevianky,Derevyanki,Деревянки
Дослідницьке,Київська область,Дослідницьке,Исследовательское,Kyiv Oblast,Kyiv Region,Doslidnytske,Issledovatelskoe,Исследовательское
Дзвінкове,Київська область,Дзвінкове,Дзвінкове,Kyiv Oblast,Kyiv Region,Dzvinkove,Dzvіnkove,Дзвинково
Глеваха,Київська область,Глеваха,Глеваха,Kyiv Oblast,Kyiv Region,Hlevakha,Glevakha,Глеваха
Гребінки,Київська область,Гребінки,Гребенки,Kyiv Oblast,Kyiv Region,Hrebinky,Grebenki,Гребенки
Гвоздів,Київська область,Гвоздів,Гвоздів,Kyiv Oblast,Kyiv Region,Hvozdiv,Gvozdіv,Гвоздей
Хлепча,Київська область,Хлепча,Хлепча,Kyiv Oblast,Kyiv Region,Khlepcha,Khlepcha,Хлепча
Іванковичі,Київська область,Іванковичі,Іванковичі,Kyiv Oblast,Kyiv Region,Ivankovychi,Іvankovichі,Иванковичи
Кобці,Київська область,Кобці,Кобці,Kyiv Oblast,Kyiv Region,Kobtsi,Kobtsі,Кобцы
Кодаки,Київська область,Кодаки,Кодаки,Kyiv Oblast,Kyiv Region,Kodaky,Kodaki,Кодаки
Кожухівка,Київська область,Кожухівка,Кожуховка,Kyiv Oblast,Kyiv Region,Kozhukhivka,Kozhukhovka,Кожуховка
Крушинка,Київська область,Крушинка,Крушинка,Kyiv Oblast,Kyiv Region,Krushynka,Krushinka,Крушинка
Крячки,Київська область,Крячки,Крачки,Kyiv Oblast,Kyiv Region,Kriachky,Krachki,Крачки
Ксаверівка,Київська область,Ксаверівка,Ксаверовка,Kyiv Oblast,Kyiv Region,Ksaverivka,Ksaverovka,Ксаверовка
Ксаверівка Друга,Київська область,Ксаверівка Друга,Ксаверовка Вторая,Kyiv Oblast,Kyiv Region,Ksaverivka Druha,Ksaverovka Vtoraya,Ксаверовка Вторая
Кулібаба,Київська область,Кулібаба,Кулибаба,Kyiv Oblast,Kyiv Region,Kulibaba,Kulibaba,Кулибаба
Лосятин,Київська область,Лосятина,Лосятина,Kyiv Oblast,Kyiv Region,Losiatyn,Losyatina,Лосятина
Липовий Скиток,Київська область,Липовий Скиток,Липовый Скиток,Kyiv Oblast,Kyiv Region,Lypovyi Skytok,Lipovyy Skitok,Липовый Скиток
Мала Бугаївка,Київська область,Мала Бугаївка,Малая Бугаевка,Kyiv Oblast,Kyiv Region,Mala Buhaivka,Malaya Bugaevka,Малая Бугаевка
Мала Солтанівка,Київська область,Мала Солтанівка,Мала Солтанівка,Kyiv Oblast,Kyiv Region,Mala Soltanivka,Mala Soltanіvka,Малая Солтановка
Мархалівка,Київська область,Мархалівка,Мархалівка,Kyiv Oblast,Kyiv Region,Markhalivka,Markhalіvka,Мархалевка
Митниця,Київська область,Митниця,Таможня,Kyiv Oblast,Kyiv Region,Mytnytsia,Tamozhnya,Митница
Перевіз,Київська область,Перевіз,Перевоз,Kyiv Oblast,Kyiv Region,Pereviz,Perevoz,Перевоз
Петрівка,Київська область,Петрівка,Петровки,Kyiv Oblast,Kyiv Region,Petrivka,Petrovki,Петровки
Пінчуки,Київська область,Пінчуки,Пинчуки,Kyiv Oblast,Kyiv Region,Pinchuky,Pinchuki,Пинчуки
Плесецьке,Київська область,Плесецьке,Плесецкое,Kyiv Oblast,Kyiv Region,Plesetske,Plesetskoe,Плесецкое
Пологи,Київська область,Пологий,Отлогий,Kyiv Oblast,Kyiv Region,Polohy,Otlogiy,Отлогий
Порадівка,Київська область,Порадівка,Порадовка,Kyiv Oblast,Kyiv Region,Poradivka,Poradovka,Порадовка
Пшеничне,Київська область,Пшеничне,Пшеничное,Kyiv Oblast,Kyiv Region,Pshenychne,Pshenichnoe,Пшеничное
Путрівка,Київська область,Путрівка,Путровка,Kyiv Oblast,Kyiv Region,Putrivka,Putrovka,Путровка
Рославичі,Київська область,Рославичі,Рославичи,Kyiv Oblast,Kyiv Region,Roslavychi,Roslavichi,Рославичи
Руликів,Київська область,Руликів,Руликов,Kyiv Oblast,Kyiv Region,Rulykiv,Rulikov,Руликов
Саливонки,Київська область,Саливонки,Саливонки,Kyiv Oblast,Kyiv Region,Salyvonky,Salivonki,Саливонки
Шевченківка,Київська область,Шевченківка,Шевченковка,Kyiv Oblast,Kyiv Region,Shevchenkivka,Shevchenkovka,Шевченковка
Скрипки,Київська область,Скрипка,Скрипка,Kyiv Oblast,Kyiv Region,Skrypky,Skripka,Скрипка
Соколівка,Київська область,Соколівка,Соколовка,Kyiv Oblast,Kyiv Region,Sokolivka,Sokolovka,Соколовка
Тростинка,Київська область,Тростинка,Тростинка,Kyiv Oblast,Kyiv Region,Trostynka,Trostinka,Тростинка
Тростинська Новоселиця,Київська область,Тростинська Новоселиця,Тростинська Новоселиця,Kyiv Oblast,Kyiv Region,Trostynska Novoselytsia,Trostinska Novoselitsya,Тростинская Новоселица
Устимівка,Київська область,Устимівка,Устимовка,Kyiv Oblast,Kyiv Region,Ustymivka,Ustimovka,Устимовка
Велика Бугаївка,Київська область,Велика Бугаївка,Велика Бугаївка,Kyiv Oblast,Kyiv Region,Velyka Buhaivka,Velika Bugaїvka,Велика Бугаївка
Велика Солтанівка,Київська область,Велика Солтанівка,Велика Солтанівка,Kyiv Oblast,Kyiv Region,Velyka Soltanivka,Velika Soltanіvka,Большая Солтановка
Велика Вільшанка,Київська область,Велика Вільшанка,Велика Вільшанка,Kyiv Oblast,Kyiv Region,Velyka Vilshanka,Velika Vіlshanka,Большая Ольшанка
Вільшанська Новоселиця,Київська область,Вільшанська Новоселиця,Вільшанська Новоселиця,Kyiv Oblast,Kyiv Region,Vilshanska Novoselytsia,Vіlshanska Novoselitsya,Ольшанская Новоселица
Вінницькі Стави,Київська область,Вінницькі Стави,Винницкие Пруды,Kyiv Oblast,Kyiv Region,Vinnytski Stavy,Vinnitskie Prudy,Винницкие Ставы
Яцьки,Київська область,Яцьки,Яцьки,Kyiv Oblast,Kyiv Region,Yatsky,Yatski,Яцки
Залізне,Київська область,Залізне,Железное,Kyiv Oblast,Kyiv Region,Zalizne,Zheleznoe,Железное
Заріччя,Київська область,Заріччя,Заречье,Kyiv Oblast,Kyiv Region,Zarichchia,Zareche,Заречье
Здорівка,Київська область,Здорівка,Здоровка,Kyiv Oblast,Kyiv Region,Zdorivka,Zdorovka,Здоровка
Зелений Бір,Київська область,Зелений Бір,Зеленый Бор,Kyiv Oblast,Kyiv Region,Zelenyi Bir,Zelenyy Bor,Зеленый Бор
Зозулі,Київська область,Зозулі,Кукушки,Kyiv Oblast,Kyiv Region,Zozuli,Kukushki,Зозули
Березна,Київська область,Березна,Березна,Kyiv Oblast,Kyiv Region,Berezna,Berezna,Березна
Біліївка,Київська область,Біліївка,Біліївка,Kyiv Oblast,Kyiv Region,Biliivka,Bіlіїvka,Белиевка
Чепіжинці,Київська область,Чепіжинці,Чепижинцы,Kyiv Oblast,Kyiv Region,Chepizhyntsi,Chepizhintsy,Чепижинцы
Дружба,Київська область,Дружба,Дружба,Kyiv Oblast,Kyiv Region,Druzhba,Druzhba,Дружба
Гайворон,Київська область,Гайворон,Грач,Kyiv Oblast,Kyiv Region,Haivoron,Grach,Гайворон
Городище-Пустоварівське,Київська область,Городище-Пустоварівське,Городище-Пустоваровское,Kyiv Oblast,Kyiv Region,Horodyshche-Pustovarivske,Gorodishche-Pustovarovskoe,Городище-Пустоваровское
Городище Косівське,Київська область,Городище Косівське,Городище Косовское,Kyiv Oblast,Kyiv Region,Horodyshche Kosivske,Gorodishche Kosovskoe,Городище Косовское
Капустинці,Київська область,Капустинці,Капустинцы,Kyiv Oblast,Kyiv Region,Kapustyntsi,Kapustintsy,Капустинцы
Кленове,Київська область,Кленове,Кленовое,Kyiv Oblast,Kyiv Region,Klenove,Klenovoe,Кленовое
Коржиха,Київська область,Коржиха,Коржиха,Kyiv Oblast,Kyiv Region,Korzhykha,Korzhikha,Коржиха
Косівка,Київська область,Косівка,Косівка,Kyiv Oblast,Kyiv Region,Kosivka,Kosіvka,Косовка
Лобачів,Київська область,Лобачів,Лобачей,Kyiv Oblast,Kyiv Region,Lobachiv,Lobachey,Лобачей
Логвин,Київська область,Логвин,Логвин,Kyiv Oblast,Kyiv Region,Lohvyn,Logvin,Логвин
Лихачиха,Київська область,Лихачиха,Лихачиха,Kyiv Oblast,Kyiv Region,Lykhachykha,Likhachikha,Лихачиха
Мармуліївка,Київська область,Мармуліївка,Мармуліївка,Kyiv Oblast,Kyiv Region,Marmuliivka,Marmulіїvka,Мармулиевка
Матвіїха,Київська область,Матвіїха,Матвеиха,Kyiv Oblast,Kyiv Region,Matviikha,Matveikha,Матвеиха
Надросівка,Київська область,Надросівка,Надросовка,Kyiv Oblast,Kyiv Region,Nadrosivka,Nadrosovka,Надросовка
Нове Життя,Київська область,Нове Життя,Новая Жизнь,Kyiv Oblast,Kyiv Region,Nove Zhyttia,Novaya Zhizn,Новые Життя
Ожегівка,Київська область,Ожегівка,Ожеговка,Kyiv Oblast,Kyiv Region,Ozhehivka,Ozhegovka,Ожеговка
Пархомівка,Київська область,Пархомівка,Пархомовка,Kyiv Oblast,Kyiv Region,Parkhomivka,Parkhomovka,Пархомовка
Петрашівка,Київська область,Петрашівка,Петрашевка,Kyiv Oblast,Kyiv Region,Petrashivka,Petrashevka,Петрашевка
Рачки,Київська область,Рачок,Рачок,Kyiv Oblast,Kyiv Region,Rachky,Rachok,Рачок
Ратуш,Київська область,Ратуш,Ратуша,Kyiv Oblast,Kyiv Region,Ratush,Ratusha,Ратуша
Рубченки,Київська область,Рубченки,Рубченки,Kyiv Oblast,Kyiv Region,Rubchenky,Rubchenki,Рубченки
Руде Село,Київська область,Руде Село,Рудое Село,Kyiv Oblast,Kyiv Region,Rude Selo,Rudoe Selo,Рудое Село
Тадіївка,Київська область,Тадіївка,Тадіївка,Kyiv Oblast,Kyiv Region,Tadiivka,Tadіїvka,Тадиевка
Тарган,Київська область,Тарган,Таракан,Kyiv Oblast,Kyiv Region,Tarhan,Tarakan,Таракан
Веснянка,Київська область,Веснянка,Веснушка,Kyiv Oblast,Kyiv Region,Vesnianka,Vesnushka,Веснушка
Завадівка,Київська область,Завадівка,Завадовка,Kyiv Oblast,Kyiv Region,Zavadivka,Zavadovka,Завадовка
Зрайки,Київська область,Зрайки,Зрайки,Kyiv Oblast,Kyiv Region,Zraiky,Zrayki,Зрайки
Абрамівка,Київська область,Абрамівка,Абрамовка,Kyiv Oblast,Kyiv Region,Abramivka,Abramovka,Абрамовка
Боденьки,Київська область,Боденьки,Боденьки,Kyiv Oblast,Kyiv Region,Bodenky,Bodenki,Боденьки
Богданы,Київська область,Богдан,Богдан,Kyiv Oblast,Kyiv Region,Bohdany,Bogdan,Богдан
Демидів,Київська область,Демидів,Демидов,Kyiv Oblast,Kyiv Region,Demydiv,Demidov,Демидов
Дудки,Київська область,Дудка,Дудка,Kyiv Oblast,Kyiv Region,Dudky,Dudka,Дудка
Димер,Київська область,Димер,Димер,Kyiv Oblast,Kyiv Region,Dymer,Dimer,Димер
Гаврилівка,Київська область,Гаврилівка,Гавриловка,Kyiv Oblast,Kyiv Region,Havrylivka,Gavrilovka,Гавриловка
Глібівка,Київська область,Глібівка,Глебовка,Kyiv Oblast,Kyiv Region,Hlibivka,Glebovka,Глебовка
Гута-Катюжанська,Київська область,Гута-Катюжанська,Гута-Катюжанская,Kyiv Oblast,Kyiv Region,Huta-Katiuzhanska,Guta-Katyuzhanskaya,Гута-Катюжанская
Гута-Межигірська,Київська область,Гута-Межигірська,Гута-Межигорская,Kyiv Oblast,Kyiv Region,Huta-Mezhyhirska,Guta-Mezhigorskaya,Гута-Межигорская
Хотянівка,Київська область,Хотянівка,Хотяновка,Kyiv Oblast,Kyiv Region,Khotianivka,Khotyanovka,Хотяновка
Катюжанка,Київська область,Катюжанка,Катюжанка,Kyiv Oblast,Kyiv Region,Katiuzhanka,Katyuzhanka,Катюжанка
Козаровичі,Київська область,Козаровичі,Козаровичі,Kyiv Oblast,Kyiv Region,Kozarovychi,Kozarovichі,Козаровичи
Круги,Київська область,Коло,Круг,Kyiv Oblast,Kyiv Region,Kruhy,Krug,Коло
Лебедівка,Київська область,Лебедівка,Лебедевка,Kyiv Oblast,Kyiv Region,Lebedivka,Lebedevka,Лебедевка
Литвинівка,Київська область,Литвинівка,Литвиновка,Kyiv Oblast,Kyiv Region,Lytvynivka,Litvinovka,Литвиновка
Любидва,Київська область,Любидва,Любидва,Kyiv Oblast,Kyiv Region,Liubydva,Lyubidva,Любидва
Лютіж,Київська область,Лютіж,Лютеж,Kyiv Oblast,Kyiv Region,Liutizh,Lyutezh,Лютеж
Нові Петрівці,Київська область,Нові Петрівці,Новые Петровцы,Kyiv Oblast,Kyiv Region,Novi Petrivtsi,Novye Petrovtsy,Новые Петровцы
Нижча Дубечня,Київська область,Нижча Дубечня,Низшая Дубечня,Kyiv Oblast,Kyiv Region,Nyzhcha Dubechnia,Nizshaya Dubechnya,Низшая Дубечня
Осещина,Київська область,Осещина,Осещина,Kyiv Oblast,Kyiv Region,Oseshchyna,Oseshchina,Осещина
Овдієва Нива,Київська область,Овдієва Нива,Овдиева Нива,Kyiv Oblast,Kyiv Region,Ovdiieva Nyva,Ovdieva Niva,Овдиева Нива
Пірнове,Київська область,Пірнове,Пірнове,Kyiv Oblast,Kyiv Region,Pirnove,Pіrnove,Пирново
Пилява,Київська область,Пилява,Пилява,Kyiv Oblast,Kyiv Region,Pyliava,Pilyava,Пилява
Раківка,Київська область,Раківка,Раковка,Kyiv Oblast,Kyiv Region,Rakivka,Rakovka,Раковка
Рови,Київська область,Рови,Рвы,Kyiv Oblast,Kyiv Region,Rovy,Rvy,Рови
Ровжі,Київська область,Ровжі,Ровжи,Kyiv Oblast,Kyiv Region,Rovzhi,Rovzhi,Ровжи
Розтісне,Київська область,Розтісне,Розтісне,Kyiv Oblast,Kyiv Region,Roztisne,Roztіsne,Растисное
Рудня-Димерська,Київська область,Рудня-Димерська,Рудня-Дымерская,Kyiv Oblast,Kyiv Region,Rudnia-Dymerska,Rudnya-Dymerskaya,Рудня-Дымерская
Рихта,Київська область,Рихта,Рихта,Kyiv Oblast,Kyiv Region,Rykhta,Rikhta,Рихта
Рикунь,Київська область,Рикунь,Рикунь,Kyiv Oblast,Kyiv Region,Rykun,Rikun,Рикунь
Ритні,Київська область,Ритні,Ритни,Kyiv Oblast,Kyiv Region,Rytni,Ritni,Ритни
Савенки,Київська область,Савенки,Савенки,Kyiv Oblast,Kyiv Region,Savenky,Savenki,Савенки
Старі Петрівці,Київська область,Старі Петрівці,Старые Петровцы,Kyiv Oblast,Kyiv Region,Stari Petrivtsi,Starye Petrovtsy,Старые Петровцы
Сухолуччя,Київська область,Сухолуччя,Сухолучье,Kyiv Oblast,Kyiv Region,Sukholuchchia,Sukholuche,Сухолучье
Сувид,Київська область,Сувид,Сувид,Kyiv Oblast,Kyiv Region,Suvyd,Suvid,Сувид
Сичівка,Київська область,Сичівка,Сычевка,Kyiv Oblast,Kyiv Region,Sychivka,Sychevka,Сычевка
Синяк,Київська область,Синець,Синяк,Kyiv Oblast,Kyiv Region,Syniak,Sinyak,Синец
Тарасівщина,Київська область,Тарасівщина,Тарасовщина,Kyiv Oblast,Kyiv Region,Tarasivshchyna,Tarasovshchina,Тарасовщина
Толокунь,Київська область,Толокунь,Толокунь,Kyiv Oblast,Kyiv Region,Tolokun,Tolokun,Толокунь
Вахівка,Київська область,Вахівка,Ваховка,Kyiv Oblast,Kyiv Region,Vakhivka,Vakhovka,Ваховка
Вороньківка,Київська область,Вороньківка,Вороньковка,Kyiv Oblast,Kyiv Region,Voronkivka,Voronkovka,Вороньковка
Воропаїв,Київська область,Воропаїв,Воропаїв,Kyiv Oblast,Kyiv Region,Voropaiv,Voropaїv,Воропаев
Вища Дубечня,Київська область,Вища Дубечня,Высшая Дубечня,Kyiv Oblast,Kyiv Region,Vyshcha Dubechnia,Vysshaya Dubechnya,Высшая Дубечня
Вышгород,Київська область,Вишгород,Вышгород,Kyiv Oblast,Kyiv Region,Vyshhorod,Vyshgorod,Вышгород
Жукин,Київська область,Жукин,Жукин,Kyiv Oblast,Kyiv Region,Zhukyn,Zhukin,Жукин
Божки,Київська область,Божок,Божок,Kyiv Oblast,Kyiv Region,Bozhky,Bozhok,Божок
Черкасівка,Київська область,Черкасівка,Черкасівка,Kyiv Oblast,Kyiv Region,Cherkasivka,Cherkasіvka,Черкасовка
Черняхівка,Київська область,Черняхівка,Черняховка,Kyiv Oblast,Kyiv Region,Cherniakhivka,Chernyakhovka,Черняховка
Червоне Заріччя,Київська область,Червоне Заріччя,Красное Заречье,Kyiv Oblast,Kyiv Region,Chervone Zarichchia,Krasnoe Zareche,Красное Заречье
Добраничівка,Київська область,Добраничівка,Добраничевка,Kyiv Oblast,Kyiv Region,Dobranychivka,Dobranichevka,Добраничевка
Двірківщина,Київська область,Двірківщина,Дворковщина,Kyiv Oblast,Kyiv Region,Dvirkivshchyna,Dvorkovshchina,Дворковщина
Дзюбівка,Київська область,Дзюбівка,Дзюбовка,Kyiv Oblast,Kyiv Region,Dziubivka,Dzyubovka,Дзюбовка
Фарбоване,Київська область,Фарбоване,Крашеное,Kyiv Oblast,Kyiv Region,Farbovane,Krashenoe,Фарбаване
Гензерівка,Київська область,Гензерівка,Гензеровка,Kyiv Oblast,Kyiv Region,Henzerivka,Genzerovka,Гензеровка
Годунівка,Київська область,Годунівка,Годунівка,Kyiv Oblast,Kyiv Region,Hodunivka,Godunіvka,Годуновка
Гречанівка,Київська область,Гречанівка,Гречановка,Kyiv Oblast,Kyiv Region,Hrechanivka,Grechanovka,Гречановка
Кайнари,Київська область,Кайнари,Кайнары,Kyiv Oblast,Kyiv Region,Kainary,Kaynary,Кайнары
Коптевичівка,Київська область,Коптевичівка,Коптевичевка,Kyiv Oblast,Kyiv Region,Koptevychivka,Koptevichevka,Коптевичевка
Кулябівка,Київська область,Кулябівка,Кулябівка,Kyiv Oblast,Kyiv Region,Kuliabivka,Kulyabіvka,Кулябовка
Лемешівка,Київська область,Лемешівка,Лемешевка,Kyiv Oblast,Kyiv Region,Lemeshivka,Lemeshevka,Лемешевка
Лозовий Яр,Київська область,Лозовий Яр,Лозовой Яр,Kyiv Oblast,Kyiv Region,Lozovyi Iar,Lozovoy Yar,Лозовой Яр
Лукомщина,Київська область,Лукомщина,Лукомщина,Kyiv Oblast,Kyiv Region,Lukomshchyna,Lukomshchina,Лукомщина
